FECHA,LOM,TEC,DIC,MCM,TLA,XAL,EDL,IBM,NEZ,MON,EAJ,AJU,MPA,SNT,COR,LAA
06/01/2014,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
13/01/2014,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
20/01/2014,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
27/01/2014,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
03/02/2014,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
10/02/2014,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
17/02/2014,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
24/02/2014,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
03/03/2014,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
10/03/2014,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
17/03/2014,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
24/03/2014,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
31/03/2014,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
07/04/2014,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
14/04/2014,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
21/04/2014,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
28/04/2014,-99,12.89,26.71,22.10,16.12,13.20,-99,14.28,10.75,13.66,23.64,-99,25.33,-99,8.44,-99
05/05/2014,-99,11.67,16.58,10.13,14.12,12.59,45.13,23.33,8.90,31.78,23.03,10.28,8.14,-99,6.45,9.82
12/05/2014,-99,3.53,-99,11.21,-99,3.38,19.03,-99,9.06,8.75,-99,-99,12.89,-99,7.83,5.68
19/05/2014,86.58,5.37,31.93,22.41,25.02,11.67,46.36,86.73,9.21,3.99,51.58,111.45,11.05,30.09,11.05,19.96
26/05/2014,52.96,17.65,15.20,28.09,24.41,13.82,84.27,45.44,70.77,23.03,30.39,-99,49.58,51.89,36.07,28.71
02/06/2014,64.63,16.43,44.82,30.70,60.63,28.86,66.62,31.47,12.43,13.51,60.79,-99,15.04,58.79,27.78,22.87
09/06/2014,36.23,21.95,9.21,39.14,56.80,27.17,29.78,71.23,1.38,9.82,4.61,34.85,34.23,-99,26.40,10.28
16/06/2014,137.54,111.29,54.96,115.90,142.30,109.14,79.06,145.98,98.55,76.14,66.47,77.21,54.80,-99,38.68,109.60
23/06/2014,33.46,110.83,28.71,58.33,65.85,74.14,46.05,31.47,34.85,18.27,48.20,37.92,29.78,31.93,48.66,173.46
30/06/2014,55.88,52.04,84.74,53.42,60.33,53.73,65.70,65.55,46.67,96.71,73.53,83.35,34.23,88.57,31.16,44.06
07/07/2014,54.03,50.66,13.51,24.41,36.38,36.53,48.35,30.39,-99,27.94,58.49,20.42,15.66,57.26,25.79,-99
14/07/2014,-99,92.87,8.44,55.57,26.40,73.68,9.67,40.22,-99,-99,31.47,23.33,15.81,44.21,-99,84.89
21/07/2014,-99,10.75,41.14,22.57,30.24,3.22,62.02,10.90,28.71,-99,56.34,26.86,38.07,62.02,-99,10.28
28/07/2014,13.36,3.53,9.82,0.84,18.73,33.62,27.63,2.15,6.45,-99,20.57,18.11,4.61,24.41,2.76,5.37
04/08/2014,63.24,19.80,80.28,56.95,13.82,22.87,94.87,29.17,-99,35.92,52.19,55.72,19.96,44.98,28.25,21.64
11/08/2014,98.09,61.71,36.07,46.36,55.57,9.98,42.98,108.38,68.77,41.14,25.79,28.71,23.95,37.92,32.24,57.41
18/08/2014,35.92,32.54,29.01,22.57,29.63,37.46,38.84,18.73,32.70,23.49,18.42,31.78,3.38,29.17,8.90,30.70
25/08/2014,161.49,13.36,68.92,64.93,35.77,7.21,85.35,152.28,11.05,1.07,73.22,70.92,33.31,70.61,21.34,22.26
01/09/2014,53.27,36.69,14.12,40.99,-99,41.14,65.55,46.51,34.23,16.89,28.71,43.14,12.59,44.82,11.05,38.99
08/09/2014,37.76,54.03,36.53,16.43,39.30,19.50,35.92,14.58,-99,24.25,48.66,29.63,55.26,48.20,33.31,81.05
15/09/2014,40.22,3.07,14.28,15.50,8.90,8.29,87.04,19.03,-99,12.13,19.19,53.88,2.92,35.15,18.11,2.15
22/09/2014,39.76,19.03,33.16,18.73,39.45,9.67,66.47,52.81,24.71,13.36,91.64,77.06,67.54,123.11,43.60,11.67
29/09/2014,107.76,86.27,70.00,102.54,69.38,52.65,8.75,114.67,85.04,70.77,45.44,75.83,53.88,68.92,35.31,87.19
06/10/2014,36.53,71.23,13.20,49.28,37.61,41.45,8.29,34.85,24.25,64.17,14.89,2.15,30.85,12.59,5.68,55.11
13/10/2014,34.08,19.96,58.33,42.21,30.70,5.07,74.14,25.64,23.79,10.13,71.07,77.21,21.49,121.42,22.72,13.51
20/10/2014,0.52,9.82,0.45,0.68,-99,12.74,-99,-99,5.22,5.68,1.69,-99,0.71,2.30,0.60,13.36
27/10/2014,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
03/11/2014,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
10/11/2014,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
17/11/2014,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
24/11/2014,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
01/12/2014,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
08/12/2014,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
15/12/2014,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
22/12/2014,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
29/12/2014,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
