FECHA,LOM,TEC,DIC,MCM,TLA,XAL,EDL,IBM,NEZ,MON,EAJ,AJU,MPA,SNT,COR,LAA
07/01/2019,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
14/01/2019,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
21/01/2019,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
28/01/2019,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
04/02/2019,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
11/02/2019,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
18/02/2019,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
25/02/2019,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
04/03/2019,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
11/03/2019,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
18/03/2019,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
25/03/2019,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
01/04/2019,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
08/04/2019,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
15/04/2019,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
22/04/2019,3.3,2.9,0.4,12.2,0.5,2.5,7.1,3.9,13.7,-99,1.5,1.3,26.2,7.4,7.7,3.1
29/04/2019,3.6,-99,8.4,0.3,5.4,1,6.3,0.9,-99,-99,4.9,8.6,6.8,1.4,8.4,-99
06/05/2019,-99,-99,-99,22.9,-99,-99,-99,-99,-99,-99,-99,-99,1.4,-99,2.8,-99
13/05/2019,4.9,20.2,9.4,6.5,12.9,10.1,8.5,6.6,11.9,11.1,9.4,4.1,17.2,11.8,27.9,14.8
20/05/2019,8.1,1.2,7.9,2,2.7,-99,29.4,3.3,2.4,11.5,10.7,60.2,7.5,21.9,7.1,1.5
27/05/2019,7.9,7,8.6,29.2,-99,2.8,11.6,5.6,3.2,22.1,12.4,17.5,18,21.8,31.9,1.8
03/06/2019,63.8,50.8,60.2,41.4,27.6,51.9,43.5,63.1,64.8,44.5,59.7,51.6,31.9,61.5,16.6,75.9
10/06/2019,11.7,3.4,44.7,17.8,25.7,47.1,18.7,13.7,14.2,22,17.8,3.7,17.2,29.5,18.8,21.3
17/06/2019,31,66.1,47.5,67.8,37.5,171.9,71.7,39.9,40.4,26,42.3,59.4,24.3,51.3,42.9,44.6
24/06/2019,18.8,30.2,23.6,29.2,10.5,29.5,57.6,14.2,41.7,54.1,33.3,41.4,31.9,38.4,36.9,21.9
01/07/2019,65.5,17.1,17.3,35.3,47.7,17.7,38.8,44.8,16.4,5.8,28.5,30.5,32.4,40.6,9.2,25.1
08/07/2019,83.3,27.3,82,44.7,93.9,57.9,48.3,54.1,37.6,9.3,26.8,129,10.3,30.9,16.6,17.2
15/07/2019,132.3,60.5,107.4,40.2,30.1,51.1,43,52.3,19.6,11.1,66.3,15.5,20.9,35.8,30.4,40
22/07/2019,122.6,20.5,35.3,90.3,75.5,28.7,77.9,100.6,67.1,18.9,56.7,53.3,22.7,73.1,24.5,40.9
29/07/2019,36.1,11.2,58.2,34.7,25.1,9.5,46.9,25.1,27.9,10.7,44.2,60.7,80.6,68.2,29.9,25.6
05/08/2019,57.4,62,72.9,33.2,42.9,16.7,78.3,52.6,66,0.2,68.4,67.8,5.5,59.7,10.1,66.8
12/08/2019,22.4,0.2,38.5,-99,3.5,1.8,55.3,8,2.5,1.4,65.2,14.9,0.8,95.3,1.4,0.3
