FECHA,LOM,TEC,DIC,MCM,TLA,XAL,EDL,IBM,NEZ,MON,EAJ,AJU,MPA,SNT,COR,LAA
01/01/2018,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
08/01/2018,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
15/01/2018,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
22/01/2018,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
29/01/2018,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
05/02/2018,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
12/02/2018,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
19/02/2018,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
26/02/2018,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
05/03/2018,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
12/03/2018,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
19/03/2018,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
26/03/2018,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
02/04/2018,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
09/04/2018,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
16/04/2018,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
23/04/2018,21.1,11.97,2,41.9,4.5,7.9,24.7,24.6,21.3,20.8,1,6.1,16.9,9,36,17.2
30/04/2018,28.7,18.3,15,38.1,1.2,20.8,6.9,15.2,49,15.2,11.7,35.1,32.7,10.8,26.2,11.4
07/05/2018,51.6,4.5,17,1.5,52.6,6.4,17.5,26.9,8.7,1.7,24.9,17.8,0.3,22.5,5.2,2.8
14/05/2018,10.4,19.1,19.3,35.1,17.5,17.5,4,15.2,52.6,41,17.3,4.6,54.1,4.9,32.3,21.1
21/05/2018,23.1,-99,19.6,-99,5.3,-99,1.5,13.5,1.3,38.4,29.2,8.6,-99,18.3,-99,-99
28/05/2018,0.3,0.2,18.42,-99,-99,-99,0.9,4.8,0.8,0.3,-99,1,-99,-99,0.2,3
04/06/2018,14.2,69,6.4,87.4,35,24.1,53.3,16,7.7,35.7,5.3,19.8,22.1,14,23.7,72.9
11/06/2018,160.3,49.1,79.5,68.3,124,59.7,139.4,200.9,32.9,24.5,68.8,100.6,50.5,49.9,13.3,52.3
18/06/2018,36.1,59,38.6,53.1,23.1,16.1,57.9,39.3,7.7,16.6,42.9,50.8,5.5,88.1,4.9,107.2
25/06/2018,79,29,28.9,22.4,39.9,21.9,61.2,28.4,19.3,8.6,17.5,26.2,3.7,60.7,9.1,38.9
02/07/2018,17.8,39,27.2,36.3,20.8,26.2,46.6,86.1,31.8,11.7,25.7,81,36.8,51.7,30.8,42.9
09/07/2018,56.1,38.9,71.6,50,55.6,43.9,78.1,68.3,41.4,33.4,62.5,19.8,19.1,41.5,18.9,56.4
16/07/2018,25.4,0.5,39.6,25.7,2.8,11.9,10.2,3.1,1,0.6,19.6,46.5,-99,20.5,3,-99
23/07/2018,31.5,7.2,16,15,12.3,16.4,25,20.6,14.4,16.3,37.3,32.8,25.9,28.5,22.1,9.7
30/07/2018,81.8,59,47.5,40.5,59.6,68.9,106.5,58.2,29.2,26,62.5,56.9,51.3,77.9,36.6,55.6
06/08/2018,85.1,49,80.8,49.7,55.1,67.4,121.9,89.7,63.2,52.8,69.6,30.7,31,53.5,75.6,38.1
13/08/2018,58.4,38.9,59.2,13.5,25.7,6.8,48.3,80.8,62,62.4,44.7,51.6,40.5,43.1,65.7,36.6
20/08/2018,39.9,23.2,72.6,40.9,26.7,22.5,61.1,27.2,94.2,25.3,69.9,58.9,67.8,71.3,23.6,23.6
27/08/2018,137.4,19,175.5,36.1,48.5,24,53.4,111.5,18.1,21.8,114.3,40.1,66.9,118.7,22.8,30.5
03/09/2018,11.4,18.1,30,32.3,7.5,14.5,43.4,21.6,52.6,40.7,20.3,43.9,26.9,31.8,7.4,25.4
10/09/2018,74.4,39.3,56.1,20.8,107.1,18.1,32.8,51,12,40.9,68.6,31.5,14.5,48.7,7,20.9
17/09/2018,43.2,37.46,104.1,75.2,33.2,14.7,88.2,17.8,18.5,31,71.4,49,52.6,34.6,48.8,22.9
24/09/2018,28.2,13.7,38.6,4,4.2,2,96.9,14,2,2,51,46.7,20.8,73.3,12.6,11.2
01/10/2018,12.2,19,45.7,22.4,73.8,10.7,48.4,30,18,23.5,56.4,28.7,25.7,45.2,-99,26.4
08/10/2018,29.7,19.1,41.7,9.4,38.2,21.3,28,37.3,58.7,17.8,38.1,43.7,12.2,65.7,10.5,37.8
15/10/2018,24.6,2.8,24.1,2.8,10.4,1.3,67.7,23.1,5.2,2.6,19.3,37.1,7.2,29.2,2.4,2.8
22/10/2018,6.9,96.5,12.7,63.2,25.2,32.3,3.7,13.5,19.3,13.2,13.2,30.7,36.8,13.6,21.3,28.7
29/10/2018,23.8,34.8,23.9,74.9,22.5,52.5,16.8,27.4,1.84,11.4,22,33.16,67.3,25.5,18.6,23.3
05/11/2018,-99,28.3,-99,20.11,6.2,-99,-99,-99,12.43,19.03,-99,-99,25.02,-99,-99,25
12/11/2018,20.57,-99,0.7,-99,16.4,-99,24.1,21.18,-99,0.77,-99,29.47,-99,12.59,-99,-99
19/11/2018,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
26/11/2018,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
03/12/2018,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
10/12/2018,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
17/12/2018,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
24/12/2018,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
31/12/2018,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
