FECHA,LOM,TEC,DIC,MCM,TLA,XAL,EDL,IBM,NEZ,MON,EAJ,AJU,MPA,SNT,COR,LAA
02/01/2012,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
09/01/2012,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
16/01/2012,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
23/01/2012,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
30/01/2012,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
06/02/2012,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
13/02/2012,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
20/02/2012,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
27/02/2012,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
05/03/2012,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
12/03/2012,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
19/03/2012,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
26/03/2012,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
02/04/2012,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
09/04/2012,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
16/04/2012,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
23/04/2012,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
30/04/2012,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
07/05/2012,3.38,10.13,9.82,8.75,23.95,1.07,6.91,4.91,6.14,12.43,7.98,22.57,9.06,7.06,12.13,5.22
14/05/2012,-99,7.52,1.69,9.82,-99,8.60,-99,-99,17.65,13.66,8.14,2.76,10.59,-99,8.60,5.37
21/05/2012,-99,0.54,-99,1.46,0.31,-99,1.54,-99,-99,0.66,-99,-99,-99,-99,-99,4.76
28/05/2012,12.28,15.35,19.50,15.66,12.13,6.91,38.07,23.49,10.90,17.35,31.16,15.50,11.97,52.04,10.13,13.97
04/06/2012,4.14,1.84,9.67,0.58,1.07,1.00,17.19,5.22,0.31,2.95,13.97,17.35,0.78,2.61,0.95,2.73
11/06/2012,26.56,33.31,33.92,20.26,66.01,25.94,105.15,18.27,10.28,27.02,52.65,118.97,52.19,68.31,32.08,23.33
18/06/2012,44.82,48.51,38.68,105.15,21.95,41.29,110.52,52.50,72.76,40.53,57.56,34.54,46.21,39.60,101.47,51.27
25/06/2012,89.03,19.65,58.03,77.67,86.58,33.46,67.70,45.74,12.59,23.79,79.06,29.17,34.69,82.59,17.81,32.85
02/07/2012,87.50,33.46,40.99,31.47,31.01,23.18,66.93,54.34,29.93,3.07,45.59,64.78,31.93,58.79,57.72,57.72
09/07/2012,47.43,60.17,62.32,100.39,89.49,58.79,71.23,80.44,41.14,41.75,62.78,81.36,59.87,84.12,24.56,65.39
16/07/2012,15.66,55.57,31.01,39.14,30.70,54.03,26.56,0.49,13.97,24.41,44.36,85.04,28.09,24.10,37.15,39.60
23/07/2012,20.72,57.56,31.93,72.92,44.82,44.21,34.54,52.81,-99,9.82,57.26,47.13,29.78,24.71,17.19,31.93
30/07/2012,22.41,8.29,16.89,3.99,7.83,17.19,42.83,8.75,-99,17.50,10.44,11.05,7.52,3.07,11.51,13.20
06/08/2012,46.67,41.91,46.36,22.10,48.05,31.47,75.52,50.81,21.80,41.75,40.22,73.07,31.47,58.95,29.01,29.17
13/08/2012,33.46,10.44,71.53,34.39,9.67,22.41,39.14,23.79,32.39,11.36,94.41,16.27,10.13,53.27,18.88,12.59
20/08/2012,32.70,57.41,108.99,26.25,23.79,54.96,88.73,22.26,29.32,49.43,133.24,54.34,48.66,85.66,17.50,38.53
27/08/2012,8.90,4.91,16.27,-99,-99,1.07,38.07,-99,0.31,-99,20.88,11.05,0.45,26.10,4.14,3.53
03/09/2012,12.59,8.14,31.16,2.61,7.98,0.48,45.44,18.42,4.76,2.46,40.99,21.03,6.60,-99,19.80,0.31
10/09/2012,22.41,43.29,40.53,69.08,17.96,17.96,38.07,22.10,31.32,1.83,38.38,40.37,27.02,-99,37.15,43.14
