FECHA,LOM,TEC,DIC,MCM,TLA,XAL,EDL,IBM,NEZ,MON,EAJ,AJU,MPA,SNT,COR,LAA
03/01/2011,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
10/01/2011,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
17/01/2011,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
24/01/2011,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
31/01/2011,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
07/02/2011,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
14/02/2011,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
21/02/2011,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
28/02/2011,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
07/03/2011,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
14/03/2011,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
21/03/2011,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
28/03/2011,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
04/04/2011,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
11/04/2011,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
18/04/2011,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
25/04/2011,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
02/05/2011,-99,-99,11.37,-99,7.78,-99,9.38,-99,-99,-99,1.81,6.19,0.37,4.99,-99,-99
09/05/2011,-99,1.50,16.43,2.92,2.76,0.81,37.92,12.67,-99,9.08,17.35,17.96,0.64,17.26,5.53,3.53
16/05/2011,-99,0.55,0.71,0.31,3.69,-99,11.77,5.89,-99,0.61,0.74,-99,0.31,-99,-99,0.38
23/05/2011,-99,-99,3.38,3.49,12.27,-99,10.44,0.84,-99,-99,2.00,3.22,0.63,1.12,-99,-99
30/05/2011,-99,7.08,-99,-99,-99,2.46,1.01,-99,-99,-99,-99,-99,-99,-99,-99,5.79
06/06/2011,-99,-99,5.89,-99,-99,-99,-99,-99,-99,0.63,1.90,4.30,1.00,3.84,4.49,-99
13/06/2011,9.21,-99,18.16,0.64,9.21,-99,24.94,13.67,-99,-99,6.29,26.64,14.57,7.21,3.53,-99
