FECHA,LOM,TEC,DIC,MCM,TLA,XAL,EDL,IBM,NEZ,MON,EAJ,AJU,MPA,SNT,COR,LAA
02/01/2017,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
09/01/2017,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
16/01/2017,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
23/01/2017,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
30/01/2017,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
06/02/2017,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
13/02/2017,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
20/02/2017,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
27/02/2017,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
06/03/2017,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
13/03/2017,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
20/03/2017,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
27/03/2017,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
03/04/2017,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
10/04/2017,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
17/04/2017,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
24/04/2017,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
01/05/2017,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
08/05/2017,-99,5.53,14.12,4.91,-99,22.87,-99,-99,5.22,3.68,11.97,1.69,1.54,19.34,-99,7.37
15/05/2017,0.69,2.46,25.48,6.45,15.66,1.54,22.41,28.25,0.49,5.50,37.76,19.34,2.61,19.03,1.69,0.46
22/05/2017,5.68,19.19,76.45,30.39,4.14,15.66,80.59,6.75,0.84,34.85,88.42,81.97,42.06,103.46,18.73,22.87
29/05/2017,56.03,3.07,10.13,2.00,39.76,2.30,14.12,42.52,1.38,0.49,27.94,83.20,18.57,35.61,10.44,5.53
05/06/2017,71.23,52.50,34.69,41.29,46.97,42.06,15.04,77.37,25.17,20.88,42.52,35.92,25.79,26.71,57.87,29.47
12/06/2017,-99,35.92,-99,23.33,-99,12.59,-99,0.30,8.60,15.35,-99,15.35,3.53,3.68,3.20,40.68
19/06/2017,66.31,0.49,-99,20.30,27.32,0.87,42.98,109.30,1.11,1.00,50.66,21.18,8.90,48.51,7.21,3.68
26/06/2017,45.44,142.45,51.27,58.03,58.64,52.19,64.78,42.67,70.00,22.72,50.96,35.92,32.54,56.80,28.86,76.14
03/07/2017,77.52,77.98,74.30,73.38,52.50,95.79,91.64,50.35,81.97,57.10,120.04,139.08,39.45,143.99,29.47,51.58
10/07/2017,28.55,93.33,21.49,12.89,42.37,24.87,4.61,13.05,54.03,60.17,23.64,22.10,43.90,6.14,12.59,84.12
17/07/2017,58.95,9.52,66.93,16.89,34.69,26.10,99.32,31.32,17.19,26.40,53.73,65.24,40.99,44.82,34.08,8.60
24/07/2017,25.48,14.74,36.38,4.91,8.60,37.46,81.67,10.75,23.03,3.84,10.13,7.21,26.40,7.06,-99,11.97
31/07/2017,28.25,4.76,29.47,4.30,13.51,1.54,73.99,14.12,5.37,6.60,24.25,42.52,13.66,53.73,3.68,6.91
07/08/2017,64.78,12.28,29.47,24.56,16.27,10.13,34.39,31.01,12.89,23.33,47.13,57.10,42.52,66.16,5.83,14.74
14/08/2017,69.38,54.65,56.80,80.74,25.48,11.97,147.06,45.74,31.01,14.43,47.28,57.41,21.80,64.78,30.70,86.58
21/08/2017,114.21,16.27,70.46,64.63,126.80,16.89,103.77,105.31,63.09,17.96,69.38,33.30,30.39,73.38,34.08,13.97
28/08/2017,82.28,105.31,116.36,83.20,42.06,111.14,198.64,58.64,100.39,56.80,226.42,116.10,65.70,181.75,73.38,84.74
