FECHA,LOM,TEC,DIC,MCM,TLA,XAL,EDL,IBM,NEZ,MON,EAJ,AJU,MPA,SNT,COR,LAA
04/01/2016,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
11/01/2016,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
18/01/2016,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
25/01/2016,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
01/02/2016,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
08/02/2016,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
15/02/2016,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
22/02/2016,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
29/02/2016,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
07/03/2016,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
14/03/2016,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
21/03/2016,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
28/03/2016,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
04/04/2016,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
11/04/2016,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
18/04/2016,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
25/04/2016,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
02/05/2016,7.98,3.07,6.60,5.53,20.42,19.96,18.27,9.52,-99,-99,3.07,15.96,0.52,12.28,-99,1.07
09/05/2016,41.45,18.27,-99,14.28,2.61,37.92,19.96,9.82,15.66,-99,8.75,39.91,6.45,14.89,3.07,25.33
16/05/2016,5.07,3.38,-99,4.45,13.36,12.74,29.17,21.03,6.45,18.42,1.84,73.07,12.59,1.00,16.43,-99
23/05/2016,15.04,43.75,25.17,36.38,31.62,63.24,7.21,26.10,33.16,29.47,25.48,11.51,7.98,38.38,24.87,67.08
30/05/2016,20.57,57.72,33.31,33.00,10.75,38.38,37.92,27.02,114.52,57.56,35.31,17.81,27.94,27.63,57.10,53.11
06/06/2016,-99,33.77,15.66,32.54,30.70,13.51,-99,23.33,16.89,29.78,31.62,81.67,31.01,71.53,27.94,11.97
13/06/2016,-99,7.06,26.40,11.67,19.03,4.91,-99,16.27,-99,7.68,49.43,67.54,15.04,135.70,16.89,-99
20/06/2016,46.36,46.67,43.29,52.81,43.60,24.87,132.63,58.03,20.26,35.31,80.44,62.02,37.46,70.92,35.61,45.13
27/06/2016,123.11,40.53,81.36,58.03,45.74,134.78,-99,63.24,40.22,39.30,83.20,-99,-99,-99,31.62,36.84
04/07/2016,42.37,29.78,2.76,37.76,50.96,12.59,-99,37.15,13.51,12.28,17.19,-99,-99,-99,14.12,18.42
11/07/2016,50.35,19.96,64.78,46.67,9.52,17.81,180.83,26.71,9.82,11.05,85.35,65.39,-99,113.29,18.11,27.94
18/07/2016,72.15,25.48,33.00,58.95,112.98,16.89,40.22,73.38,37.92,31.62,27.94,83.51,-99,39.91,68.16,33.77
25/07/2016,66.31,51.73,47.89,15.04,24.56,17.50,89.03,39.45,21.18,35.00,54.96,70.15,-99,42.21,29.47,70.92
01/08/2016,70.00,13.20,41.75,24.25,22.72,5.53,93.95,26.10,24.56,42.06,52.81,77.06,34.85,55.88,19.96,15.66
08/08/2016,28.25,18.11,20.26,7.98,16.27,31.93,38.68,20.26,22.72,7.68,28.55,43.29,22.72,78.29,5.53,13.82
15/08/2016,63.24,22.72,26.40,32.24,62.94,28.25,62.63,107.76,-99,-99,15.35,27.02,18.42,37.15,11.05,16.12
22/08/2016,33.46,100.39,37.46,65.39,7.06,92.72,16.27,12.28,-99,-99,38.38,48.51,10.75,50.35,46.05,77.37
29/08/2016,26.71,9.52,31.62,2.61,22.72,8.60,109.91,1.54,-99,23.33,89.65,70.31,23.03,97.94,10.13,7.98
05/09/2016,7.98,-99,6.14,28.25,2.15,-99,13.20,11.67,-99,-99,3.99,4.61,-99,19.34,-99,-99
12/09/2016,48.20,-99,50.96,7.06,27.02,-99,103.46,-99,11.97,0.92,70.92,53.42,16.58,75.22,-99,-99
19/09/2016,62.63,25.17,71.53,23.95,62.02,21.80,71.84,21.49,53.11,21.49,81.67,73.68,29.17,75.83,59.56,42.67
26/09/2016,6.45,41.45,17.19,55.57,3.99,34.39,26.71,-99,42.98,19.65,22.10,58.64,24.56,58.03,1.00,29.78
03/10/2016,21.49,-99,2.76,0.92,3.07,0.54,23.64,-99,-99,-99,18.73,7.06,0.49,19.34,-99,-99
10/10/2016,-99,-99,15.35,14.74,-99,-99,-99,-99,0.57,-99,9.98,31.93,8.29,10.44,14.43,-99
17/10/2016,-99,-99,-99,-99,0.49,0.51,-99,-99,16.58,0.46,0.57,44.36,13.82,-99,0.52,-99
24/10/2016,0.54,-99,0.49,-99,10.44,0.46,0.58,-99,-99,-99,5.83,0.52,0.57,-99,0.49,8.60
31/10/2016,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
07/11/2016,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
14/11/2016,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
21/11/2016,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
28/11/2016,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
05/12/2016,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
12/12/2016,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
19/12/2016,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
26/12/2016,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
