FECHA,LOM,TEC,DIC,MCM,TLA,XAL,EDL,IBM,NEZ,MON,EAJ,AJU,MPA,SNT,COR,LAA
07/01/2013,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
14/01/2013,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
21/01/2013,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
28/01/2013,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
04/02/2013,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
11/02/2013,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
18/02/2013,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
25/02/2013,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
04/03/2013,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
11/03/2013,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
18/03/2013,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
25/03/2013,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
01/04/2013,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
08/04/2013,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
15/04/2013,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
22/04/2013,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
29/04/2013,-99,-99,-99,-99,-99,-99,1.30,-99,-99,-99,1.30,-99,-99,-99,-99,-99
06/05/2013,20.29,3.30,23.95,27.49,58.70,5.80,94.81,9.06,7.89,3.22,44.99,44.19,26.71,-99,23.79,4.70
13/05/2013,27.09,16.89,-99,2.61,7.21,48.91,17.04,13.51,15.50,18.27,5.83,11.21,16.73,-99,31.61,-99
20/05/2013,20.72,22.41,22.72,39.40,21.95,33.92,19.19,24.56,39.30,13.20,30.99,62.09,17.19,-99,11.67,37.99
27/05/2013,-99,3.90,-99,-99,-99,46.80,3.22,-99,11.80,10.81,2.61,8.14,9.67,-99,16.89,-99
03/06/2013,13.20,1.80,25.02,31.41,17.19,1.40,33.00,14.28,1.50,-99,35.40,26.50,29.40,-99,27.00,1.69
10/06/2013,79.50,107.90,6.45,36.84,35.60,35.71,47.49,30.55,50.90,48.20,13.00,57.99,62.40,-99,37.46,64.17
17/06/2013,86.39,34.69,74.70,80.61,78.20,13.51,92.90,87.61,32.50,34.80,97.51,64.93,33.00,-99,-99,21.60
24/06/2013,8.90,16.19,15.50,2.92,5.22,31.90,20.72,10.59,3.07,26.56,49.80,38.10,3.90,-99,-99,22.00
01/07/2013,62.40,78.60,63.80,38.81,24.87,40.99,56.18,24.56,31.50,26.50,68.89,58.49,51.10,-99,14.43,25.60
08/07/2013,42.67,52.90,21.34,53.80,40.99,55.80,10.28,46.05,41.29,31.50,32.01,52.81,18.91,-99,27.20,45.61
15/07/2013,61.29,55.29,48.71,27.78,42.67,73.50,49.71,63.40,38.50,20.29,64.00,68.69,8.90,-99,-99,74.30
22/07/2013,11.61,24.56,12.40,9.50,19.10,24.81,21.43,0.29,11.10,4.90,15.50,18.90,27.80,-99,-99,4.91
29/07/2013,15.50,9.50,26.10,49.80,18.57,6.29,39.21,32.21,57.50,23.19,38.61,49.12,13.82,-99,-99,25.60
05/08/2013,25.94,44.82,51.30,46.30,35.51,19.20,91.00,29.78,21.71,9.99,47.40,28.80,10.13,-99,34.09,53.40
12/08/2013,48.49,11.97,72.79,25.90,15.81,14.12,76.60,-99,9.52,8.40,72.70,62.51,13.82,-99,11.51,2.76
19/08/2013,38.90,16.89,40.20,32.80,27.48,22.60,71.10,23.99,33.80,10.39,40.00,89.09,76.91,-99,65.70,20.42
26/08/2013,97.80,30.85,31.16,45.90,166.80,86.10,35.46,58.95,46.90,35.31,49.90,74.30,38.81,-99,53.40,35.00
02/09/2013,106.30,95.30,52.96,96.60,87.01,60.70,56.03,103.80,88.40,71.60,68.20,65.79,59.50,-99,94.87,109.30
09/09/2013,57.70,28.71,18.42,28.25,82.69,26.86,79.21,96.20,11.05,24.25,26.86,54.03,26.71,-99,15.66,21.00
16/09/2013,99.10,39.70,70.60,39.10,54.40,43.30,172.10,81.01,-99,44.99,-99,45.10,16.59,-99,24.61,40.10
23/09/2013,14.60,24.10,38.10,26.40,1.60,22.30,13.29,-99,35.60,20.09,23.79,4.30,24.10,-99,14.00,30.50
30/09/2013,11.70,3.19,13.36,6.60,13.05,6.60,11.21,16.70,0.77,6.00,11.30,28.11,6.00,-99,13.00,5.50
07/10/2013,28.00,23.19,7.11,41.80,-99,9.90,5.50,4.80,76.51,1.90,7.60,6.45,17.30,-99,16.30,17.35
14/10/2013,92.10,25.41,-99,23.19,58.10,15.20,90.57,69.40,5.53,27.49,82.40,73.81,20.00,-99,33.30,58.95
21/10/2013,4.30,28.31,-99,19.50,-99,38.90,35.20,1.69,0.28,15.80,6.29,11.05,12.74,-99,2.30,20.29
28/10/2013,-99,5.10,-99,4.45,-99,15.60,2.46,-99,5.37,4.30,7.52,14.12,8.14,-99,19.65,2.92
04/11/2013,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
11/11/2013,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
18/11/2013,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
25/11/2013,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
02/12/2013,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
09/12/2013,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
16/12/2013,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
23/12/2013,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
30/12/2013,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
