FECHA,LOM,TEC,DIC,MCM,TLA,XAL,EDL,IBM,NEZ,MON,EAJ,AJU,MPA,SNT,COR,LAA
05/01/2015,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
12/01/2015,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
19/01/2015,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
26/01/2015,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
02/02/2015,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
09/02/2015,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
16/02/2015,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
23/02/2015,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
02/03/2015,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
09/03/2015,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
16/03/2015,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
23/03/2015,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
30/03/2015,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
06/04/2015,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
13/04/2015,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
20/04/2015,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
27/04/2015,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
04/05/2015,76.75,17.96,33.31,31.16,26.71,7.68,23.49,64.01,13.05,25.33,24.41,21.18,27.94,23.64,-99,17.04
11/05/2015,12.89,49.12,33.62,24.25,31.93,19.65,87.81,18.57,21.49,47.28,17.04,33.92,23.33,57.10,14.43,71.23
18/05/2015,30.24,19.03,21.64,35.61,13.97,21.03,33.77,40.53,20.72,18.27,31.32,42.06,32.85,-99,-99,13.05
25/05/2015,89.49,34.69,65.55,28.55,53.88,27.63,74.76,44.36,28.09,35.77,57.41,35.61,18.73,-99,-99,25.33
01/06/2015,17.35,40.83,35.92,14.58,7.37,46.05,24.41,-99,10.28,64.17,25.17,9.82,13.66,24.56,12.59,8.14
08/06/2015,11.97,11.05,21.80,7.37,16.12,8.60,37.30,29.32,4.91,18.27,32.85,3.99,10.90,33.62,11.97,1.00
15/06/2015,26.10,24.25,56.18,24.41,37.92,28.71,13.97,18.11,0.61,19.65,77.98,98.86,31.16,27.17,7.98,28.55
22/06/2015,81.20,25.64,43.90,67.08,70.92,26.86,53.57,48.05,6.45,11.21,53.57,104.08,49.12,-99,33.77,40.99
29/06/2015,58.49,128.18,18.11,14.43,8.75,60.48,44.98,40.83,21.49,27.02,34.85,32.70,26.71,-99,15.04,66.62
06/07/2015,11.67,10.13,31.32,14.89,3.84,5.83,32.54,2.92,17.96,9.36,53.11,16.73,1.84,29.47,-99,12.13
13/07/2015,44.06,32.70,33.77,17.96,4.45,13.51,57.41,49.12,10.28,14.89,69.85,77.06,45.59,-99,-99,31.47
20/07/2015,29.01,19.19,50.50,31.93,7.21,33.00,54.34,13.51,21.80,38.84,32.54,34.85,23.49,-99,14.89,31.32
27/07/2015,19.34,11.51,2.15,19.96,33.46,19.65,45.44,0.92,-99,2.15,25.64,13.66,7.83,-99,4.61,5.53
03/08/2015,56.80,4.91,12.13,6.60,21.34,-99,-99,22.72,10.44,11.67,18.11,36.84,55.26,90.57,58.79,3.22
10/08/2015,3.68,7.21,21.64,27.78,7.98,7.52,-99,5.37,30.24,60.48,37.92,43.29,61.71,33.16,49.74,7.21
17/08/2015,16.43,51.42,15.20,15.66,4.30,24.87,16.89,1.84,32.70,33.00,41.75,22.57,14.28,45.59,26.40,51.73
24/08/2015,93.18,2.76,8.90,12.28,134.62,2.61,38.53,93.64,1.54,7.21,21.49,95.48,17.19,36.69,10.59,2.61
31/08/2015,37.92,66.16,43.90,102.23,39.76,29.32,34.39,30.85,25.02,35.61,40.22,20.42,23.49,64.17,47.74,84.12
07/09/2015,81.67,0.51,45.28,9.21,79.52,16.27,102.23,73.84,26.71,31.16,35.92,29.01,3.38,40.37,2.46,4.45
14/09/2015,12.28,28.86,3.38,45.28,7.37,44.82,3.38,2.46,12.59,19.34,-99,10.13,27.48,9.82,12.28,55.57
21/09/2015,31.47,15.04,36.84,29.17,23.33,14.43,39.45,16.58,19.96,13.82,-99,32.85,23.64,68.00,28.55,15.35
28/09/2015,-99,12.59,1.54,0.37,-99,7.52,-99,-99,16.12,10.13,-99,0.61,2.00,5.37,1.69,12.43
05/10/2015,2.46,-99,-99,-99,0.48,0.95,2.61,8.29,-99,-99,-99,0.46,-99,-99,-99,-99
12/10/2015,-99,-99,5.22,1.07,0.84,-99,36.38,0.87,-99,-99,-99,12.89,-99,26.71,8.14,-99
19/10/2015,-99,3.38,11.36,7.37,14.28,2.46,14.43,12.59,5.53,2.92,-99,28.86,10.28,12.74,7.68,3.99
26/10/2015,-99,10.28,-99,5.37,7.21,11.97,10.13,7.37,5.99,8.90,-99,10.44,21.18,-99,14.74,21.80
02/11/2015,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
09/11/2015,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
16/11/2015,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
23/11/2015,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
30/11/2015,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
07/12/2015,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
14/12/2015,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
21/12/2015,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
28/12/2015,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
