cantidad,edad,estado,hospital
12,20,32,14
2,18,12,8
34,14,10,7
1,33,10,12
1,18,24,11
40,22,10,5
9,7,27,8
2,14,23,11
3,6,23,11
2,10,24,13
8,16,6,8
3,4,6,13
2,22,7,13
1,10,17,13
10,13,6,11
1,14,18,11
1,30,2,13
4,33,10,15
3,6,4,8
1,18,12,11
405,13,10,10
14,21,32,12
1,34,24,1
56,24,32,11
7,21,24,8
6,16,6,11
2,4,32,4
2,30,24,8
1,30,14,13
1,1,4,8
1,18,3,3
28,35,10,14
70,4,10,9
94,30,10,14
36,16,10,7
50,23,10,6
1,6,15,10
3,4,21,11
2,30,6,9
2,7,5,13
190,32,10,14
1,36,21,8
1,12,28,8
1,37,24,15
1,34,22,13
3,41,32,10
3,39,10,13
1,24,1,8
13,19,10,7
2,13,32,5
1,4,28,8
3,13,29,13
1,7,17,13
5,33,32,10
1,47,10,13
1,41,10,15
18,36,10,9
1,23,21,5
110,1,32,10
54,22,32,3
4,37,10,1
1,26,4,13
1,16,11,11
1,7,8,8
1,14,4,11
4,17,12,13
2,31,6,10
1,3,20,9
2,9,10,4
1,21,6,12
1,28,23,9
8,16,15,13
28,25,32,9
407,13,32,8
2,7,20,8
16,26,32,1
4,12,23,8
2,5,10,7
15,19,10,1
21,32,32,12
8,6,23,8
55,4,10,15
95,24,10,13
1,18,5,11
2,13,20,8
1,22,3,11
806,22,10,8
4,13,13,11
2,6,11,8
2,1,6,13
1,13,21,9
2,22,22,8
2,12,12,9
1,13,4,3
1,23,12,11
4,22,15,11
2,28,27,11
7,4,10,12
5,21,24,11
4,32,21,13
290,16,10,10
70,21,32,9
266,30,10,11
1,23,14,8
1,31,30,13
12,21,10,17
4,6,27,13
1,14,7,6
3,34,15,13
4,22,29,8
6,17,10,2
5,7,24,13
1,34,3,13
2,32,32,15
2,7,13,11
1,6,16,11
1,12,28,11
1,28,27,14
1,1,1,13
83,34,10,10
22,2,10,13
1,1,13,13
1,1,27,7
1,35,25,9
2,35,32,6
3,31,14,8
20,3,32,9
1,29,10,3
4,30,21,13
1,31,18,13
416,6,32,13
278,13,32,11
1,32,12,11
84,31,10,9
7,14,15,13
1,1,20,13
1,22,3,8
612,22,10,11
2,13,13,8
2,18,15,9
9,31,32,4
1,21,29,14
1,13,1,8
1,12,21,14
2,32,24,11
12,36,32,1
1,5,6,8
3,40,10,3
1,24,29,13
3,21,21,10
2,23,23,13
283,16,10,13
1,18,16,13
1,1,12,9
19,22,32,6
49,7,32,14
7,28,15,8
14,30,32,6
155,12,10,15
3,7,20,11
20,17,15,8
203,10,32,11
3,16,22,13
6,17,27,11
8,25,32,6
2,35,29,8
23,28,32,3
2,25,29,11
342,7,32,11
376,12,32,13
1,23,16,13
1,9,20,13
1,6,12,9
223,25,10,8
1,28,22,8
8,17,15,11
9,34,10,7
1,22,6,3
1,12,13,10
3,3,32,12
1,20,27,8
1,22,13,6
1,24,21,9
33,10,32,14
2,16,29,13
1,21,5,11
3,31,21,8
1,35,29,11
23,25,32,3
37,31,10,6
1,14,15,10
1,32,5,11
1,3,24,11
57,6,10,1
2,10,27,11
1,20,5,13
3,3,10,17
2,32,12,8
13,36,10,6
1,30,29,11
222,21,10,14
2,7,1,8
1,35,24,8
8,32,24,8
7,12,21,11
2,7,24,10
1,34,6,8
5,22,29,11
164,1,32,13
2,26,32,4
3,7,13,8
5,9,10,1
60,3,10,14
2,24,6,11
5,19,15,13
12,21,21,13
827,17,10,8
13,26,10,6
8,14,10,4
1,6,1,13
14,32,10,17
1,20,12,13
18,31,32,1
8,33,10,9
66,17,32,3
1,14,23,14
4,17,22,8
1,17,27,14
1,18,7,8
2,16,13,8
506,7,10,13
86,4,32,10
4,6,13,13
2,10,13,11
102,1,10,15
16,31,10,12
1,3,21,13
98,35,10,8
24,28,10,5
19,30,32,9
1,9,23,8
1,32,27,6
1,32,15,6
1,32,31,11
3,10,20,8
11,2,32,11
38,2,32,8
1,20,8,8
23,23,32,1
65,35,10,11
6,36,10,3
2,1,23,8
1,28,12,13
1,23,22,9
385,13,10,13
2,39,10,10
224,12,32,10
1,32,31,8
1,20,10,2
6,10,27,8
2,13,22,13
3,13,6,8
53,18,10,3
13,26,10,3
3,12,13,13
2,12,9,8
1,14,14,9
1,32,13,9
1,26,14,8
1,26,30,13
319,16,32,8
5,17,29,8
172,25,10,11
1,20,24,13
127,24,32,8
1,17,6,6
2,35,27,11
2,4,23,13
1,2,15,8
2,6,22,10
71,34,10,13
1,30,10,17
3,13,23,11
3,25,24,8
3,21,6,9
17,12,32,4
2,32,14,8
1,3,22,11
1,2,27,8
2,22,12,8
10,3,32,6
1,12,22,9
610,10,10,8
129,31,32,13
6,22,14,13
42,13,10,7
28,7,15,8
2,20,6,8
107,3,10,11
1,6,11,11
38,10,32,3
11,28,32,14
1,6,12,1
5,25,10,17
1,21,26,13
1,10,12,13
30,16,32,14
94,21,10,5
485,6,10,10
1,1,4,11
12,24,32,14
9,9,10,7
121,34,32,8
1,22,15,3
45,18,10,6
1,1,15,10
80,19,32,13
1,21,7,13
5,17,24,8
1,31,20,10
169,3,10,8
75,31,32,10
5,37,32,10
1,24,20,11
47,31,10,15
70,28,32,11
3,20,6,11
1,32,6,1
1,9,29,13
1,6,21,9
14,22,32,12
3,17,14,13
2,9,6,11
71,9,10,10
1,32,15,9
47,34,32,11
3,29,10,14
4,25,32,12
3,22,24,8
1,2,27,11
2,23,14,11
154,12,10,9
20,17,32,12
4,10,22,8
1,34,27,8
1,15,10,8
1,13,14,6
3,14,6,11
1,35,3,8
1,35,15,8
20,26,10,15
1,14,32,5
2,14,29,13
1,23,30,13
6,13,10,4
1,25,12,11
72,9,32,8
25,12,10,12
2,31,13,13
1,30,16,13
94,23,32,10
1,25,15,3
2,6,32,2
1,35,10,2
1,24,6,3
77,7,10,5
1,24,15,11
4,13,15,10
1,12,6,10
1,6,22,13
1,9,21,9
1,17,6,12
1,6,29,10
1,18,22,9
1,7,19,13
1,24,27,11
63,19,32,10
6,10,29,8
423,14,10,10
2,36,32,12
41,1,10,7
1,18,13,1
2,21,14,10
7,37,10,15
126,28,10,13
124,18,10,9
1,45,10,1
16,6,15,13
3,7,12,13
102,20,10,10
3,26,10,12
1,13,14,9
2,10,22,11
313,14,10,13
64,17,32,9
3,40,10,9
29,18,32,1
2,14,22,13
3,1,10,4
1,37,13,10
14,6,6,8
4,23,6,13
1,35,21,4
6,14,6,8
1,33,10,1
14,3,10,5
4,31,6,13
1,23,18,13
52,12,32,1
6,34,32,14
1,23,32,7
5,22,21,13
16,4,32,1
1,22,5,8
16,13,15,13
5,5,32,13
10,7,10,2
113,32,10,6
700,21,10,11
5,35,10,5
1,17,21,10
1,13,27,13
5,2,32,14
32,32,32,1
1,6,7,9
5,12,14,11
1,1,30,8
1,21,22,11
1,2,10,2
2,28,27,8
12,23,10,12
27,21,32,6
1,22,21,10
1,29,32,6
1,36,32,15
1,33,23,8
1,7,8,11
1,1,29,7
37,4,10,3
5,24,15,8
76,20,10,13
30,26,10,9
1,3,6,9
23,17,32,6
2,19,21,11
195,14,32,11
1,4,7,8
4,16,27,8
1,30,13,15
1,20,32,5
1,40,32,1
2,19,9,11
1,7,11,6
2,18,21,8
2,18,23,13
1,22,5,11
2,10,10,2
8,35,32,3
228,17,10,14
1,18,22,15
55,13,10,1
1,29,21,10
1,23,21,8
1,5,10,1
1,6,21,3
207,22,10,14
2,18,32,4
1,36,12,8
3,30,15,9
2,40,10,6
3,16,5,13
6,21,29,11
57,19,10,15
1,10,15,11
1,24,5,13
1,20,21,9
30,1,10,1
2,22,31,8
4,7,15,11
1,28,8,8
68,21,32,3
57,20,32,11
6,21,22,8
2,17,29,11
1,6,18,11
1,16,1,8
35,4,10,6
2,18,14,11
6,7,27,11
7,32,23,13
1,24,8,8
1,19,4,8
844,21,10,8
69,25,10,14
2,14,13,11
168,16,32,11
1,22,27,6
1,25,5,8
1,17,17,11
1,10,31,13
11,33,32,13
331,14,32,8
22,26,32,10
1,43,10,8
1,36,27,6
1,4,14,8
87,32,10,3
16,3,32,3
2,32,11,13
61,6,10,7
1,1,27,13
15,24,10,5
4,31,21,11
2,13,11,8
2,3,29,11
71,22,32,9
2,13,4,11
1,23,29,9
1,32,7,8
2,12,32,7
1,12,2,8
3,23,21,11
1,1,11,8
1,30,24,11
6,21,15,11
2,12,14,8
4,1,15,13
86,12,10,6
11,6,10,4
1,22,1,9
9,29,10,11
2,22,24,11
11,10,15,8
1,39,32,14
1,6,21,6
12,22,10,17
1,25,21,13
103,23,10,9
1,33,27,13
1,22,13,9
2,1,23,11
1,32,7,11
1,3,29,8
1,35,22,8
5,12,21,8
101,20,32,8
48,9,10,13
2,10,7,13
1,16,20,8
2,21,29,8
14,37,32,13
1,24,24,13
6,17,21,13
1,20,13,11
2,18,14,8
3,9,6,8
38,30,10,3
49,10,10,5
1,28,20,8
699,17,10,11
1,18,7,11
1,16,13,11
2,36,10,17
1,10,14,10
