predictedValue,RealValue,ErrorPercent
'8.12791954832109','3','170.930651610703'
'14.153888822098196','6','135.89814703496995'
'42.73874783151041','117','63.47115569956375'
'11.149313032398894','3','271.64376774662975'
'9.407490131196163','1','840.7490131196163'
'9.020046924754396','2','351.00234623771985'
'4.717441436748915','1','371.7441436748915'
'13.735630350251697','1','1273.5630350251697'
'10.230501686610639','1','923.0501686610639'
'46.74221107338023','509','90.81685440601566'
'18.95393090773309','317','94.02084198494225'
'16.345689103395774','1','1534.5689103395773'
'-3.754910596092561','1','475.49105960925607'
'14.517284032329519','1','1351.728403232952'
'10.658453665370839','1','965.8453665370839'
'74.01276937270057','1','7301.276937270058'
'16.325678407023073','1','1532.5678407023072'
'6.69327663421196','1','569.327663421196'
'9.40430649573622','4','135.1076623934055'
'8.537910614589805','9','5.134326504557722'
'10.436225820476245','3','247.87419401587485'
'13.512315824511605','1','1251.2315824511604'
'16.356405267791946','2','717.8202633895972'
'52.697274538072165','347','84.81346555098784'
'10.707930728049774','1','970.7930728049774'
'6.6129059760279','4','65.3226494006975'
'9.534312035975734','1','853.4312035975735'
'7.835636404525841','28','72.01558426955056'
'16.20178604209251','1','1520.178604209251'
'46.750076099171345','6','679.167934986189'
'16.48307900390973','1','1548.307900390973'
'9.45180498138518','5','89.0360996277036'
'11.210440245390206','2','460.5220122695103'
'13.141743654768476','3','338.0581218256159'
'11.79404053312389','1','1079.4040533123891'
'15.778430357366892','1','1477.8430357366892'
'12.160933013547666','1','1116.0933013547667'
'10.230260015197274','1','923.0260015197274'
'130.9332686179178','126','3.9152925539030194'
'3.6238157463160796','3','20.793858210535987'
'11.840435939422278','3','294.68119798074264'
'8.401593999139925','3','180.05313330466416'
'11.088284476050678','3','269.6094825350226'
'49.80437502805473','2','2390.2187514027364'
'19.404430323149445','16','21.277689519684028'
'51.87224239938725','19','173.01180210203816'
'11.555490611903615','6','92.59151019839358'
'49.078441264525665','12','308.9870105377139'
'8.34173911117721','5','66.8347822235442'
'76.39877786622884','25','205.59511146491536'
'9.422544656483481','6','57.04241094139135'
'6.374627060673729','1','537.4627060673729'
'15.106856002263003','24','37.05476665723749'
'7.154320992299365','3','138.47736640997883'
'61.56867466532117','1','6056.867466532117'
'13.160580751185337','13','1.2352365475795186'
'12.295400744620657','2','514.7700372310329'
'9.306259070165078','1','830.6259070165078'
'16.391283380193578','1','1539.1283380193577'
'8.570974464833043','2','328.54872324165217'
'15.941645788878056','1','1494.1645788878056'
'10.536474045438055','1','953.6474045438056'
'12.429545685713064','4','210.7386421428266'
'12.65246279365314','1','1165.246279365314'
'6.298496545953389','3','109.94988486511296'
'56.72800582461606','12','372.73338187180053'
'3.042860949705469','4','23.928476257363272'
'21.421179565685655','7','206.0168509383665'
'7.238515261776346','39','81.43970445698373'
'48.864286346590696','497','90.16815164052501'
'9.411021001484732','1','841.1021001484733'
'10.373040456272019','15','30.84639695818654'
'8.395445384865932','1','739.5445384865932'
'7.199171971412698','1','619.9171971412698'
'12.150343730220392','3','305.01145767401306'
'11.38536108180702','8','42.31701352258774'
'6.733068871613641','2','236.65344358068205'
'97.5684755023676','126','22.564701982247932'
'61.75362577780988','16','285.9601611113118'
'4.672243162793951','3','55.741438759798356'
'53.754585179357754','21','155.97421513979884'
'17.5727462536968','12','46.43955211413999'
'13.807105780764036','2','590.3552890382018'
'16.281614393420536','1','1528.1614393420537'
'42.26924124848249','37','14.241192563466182'
'10.27031473835271','1','927.031473835271'
'11.919974803541532','2','495.99874017707657'
'1.9251186783857897','2','3.7440660807105175'
'3.813111876799221','6','36.44813538667965'
'6.924846217517823','1','592.4846217517822'
'11.244842841745125','4','181.12107104362815'
'16.483079501623287','1','1548.3079501623288'
'9.344108559800535','1','834.4108559800535'
'10.513098694653575','1','951.3098694653575'
'14.120299573063917','1','1312.0299573063917'
'53.49029459702343','27','98.11220221119788'
'105.95591241481814','182','41.78246570614388'
'9.410292017945054','1','841.0292017945053'
'16.108850681062563','1','1510.8850681062563'
'4.007639241938865','412','99.02727202865562'
'64.43481261024897','19','239.1305926855209'
'56.219056011866286','34','65.35016474078319'
'13.459497314920267','1','1245.9497314920266'
'102.08832786362872','198','48.44023845271277'
'14.808987800920821','1','1380.8987800920822'
'33.788056163200466','3','1026.2685387733488'
'53.42438040315265','40','33.56095100788162'
'9.278878084604063','1','827.8878084604063'
'14.073339010710907','4','251.83347526777266'
'26.61010704319453','4','565.2526760798632'
'27.98109882963459','28','0.06750417987646529'
'16.106476886459674','2','705.3238443229837'
'8.404358701235319','1','740.4358701235319'
'16.51884283253136','8','106.48553540664199'
'11.379566141026933','2','468.97830705134663'
'52.88845498835423','1','5188.845498835423'
'6.137094528200111','6','2.2849088033351768'
'9.846601647808807','7','40.665737825840104'
'84.58632722051571','41','106.30811517198954'
'22.97575654587562','2','1048.787827293781'
'17.68634517950474','5','253.72690359009482'
'22.12073264631838','1','2112.073264631838'
'16.05678044164589','1','1505.6780441645892'
'10.861049642164389','1','986.1049642164389'
'78.48645024227706','18','336.03583467931696'
'90.75939008096863','500','81.84812198380628'
'8.977146963871856','1','797.7146963871857'
'48.63087393986237','67','27.41660605990691'
