predictedValue,RealValue,ErrorPercent
'8.614169333259337','5','72.28338666518674'
'9.051418484566021','1','805.1418484566021'
'13.394889695973886','1','1239.4889695973886'
'10.882678998948187','1','988.2678998948187'
'3.641583253141917','1','264.1583253141917'
'10.266760087857902','1','926.6760087857901'
'7.854982412041652','92','91.46197563908515'
'6.913426855723371','6','15.223780928722844'
'17.533719409727798','1','1653.3719409727798'
'38.23587196616701','106','63.92842267342734'
'5.135442645864172','1','413.5442645864172'
'-6.008893607819385','1','700.8893607819384'
'3.9215996468621466','1','292.15996468621466'
'19.50031272288879','101','80.69275968030813'
'39.071933215270704','75','47.90408904630573'
'84.1544150367118','59','42.63460175713864'
'8.008661230060127','3','166.95537433533758'
'81.61681777224992','1','8061.6817772249915'
'8.240592237855694','2','312.0296118927847'
'32.89724310207667','15','119.31495401384448'
'13.354662495564568','1','1235.466249556457'
'110.6794507206502','244','54.6395693767827'
'12.833016112303625','1','1183.3016112303626'
'101.55294678432884','523','80.58261055748972'
'24.82655414573273','4','520.6638536433182'
'4.163382693231489','3','38.77942310771629'
'-1.8872487376051197','1','288.72487376051197'
'3.9031879555375877','1','290.3187955537588'
'13.527917865552963','1','1252.7917865552963'
'16.457788596619746','2','722.8894298309873'
'8.456863944459664','3','181.89546481532216'
'7.442816769703487','1','644.2816769703487'
'59.32713574783379','703','91.56086262477471'
'8.323657667243255','16','47.97713957972965'
'13.349730084426831','5','166.99460168853662'
'11.232590839829529','1','1023.2590839829529'
'35.84648340911803','514','93.02597599044397'
'11.730059814252025','2','486.5029907126012'
'16.08167177570736','1','1508.167177570736'
'17.452557495474426','1','1645.2557495474427'
'4.292187882238517','4','7.304697055962928'
'8.560440995783969','8','7.005512447299611'
'23.027811732903725','11','109.3437430263975'
'13.833312047595177','1','1283.3312047595177'
'12.69902415321129','39','67.43839960715053'
'14.259993161659509','1','1325.9993161659509'
'12.88227644866033','1','1188.227644866033'
'6.800185107397899','141','95.17717368269652'
'15.149413638416414','1','1414.9413638416413'
'30.764390175118773','64','51.93064035137691'
'10.688151930528086','1','968.8151930528086'
'47.27796704093656','1','4627.7967040936555'
'2.7743819051626293','7','60.36597278339101'
'10.441873285122714','1','944.1873285122714'
'15.605039152196202','4','290.12597880490506'
'6.073222845212344','1','507.3222845212344'
'5.060120815076923','1','406.0120815076923'
'33.23121105029851','12','176.92675875248761'
'49.54710700203918','2','2377.355350101959'
'5.610945529031696','1','461.0945529031696'
'40.326779691506765','38','6.123104451333592'
'16.2026334784476','1','1520.26334784476'
'7.3248197750481445','1','632.4819775048145'
'70.73828729678294','66','7.179223176943853'
'16.280972782078816','1','1528.0972782078816'
'12.69450507964477','5','153.8901015928954'
'7.854972920549576','1','685.4972920549576'
'8.949640381376549','1','794.9640381376548'
'94.6642902058089','582','83.73465804023901'
'9.193268564042253','3','206.4422854680751'
'50.655525876624395','1','4965.55258766244'
'15.88311939194866','1','1488.311939194866'
'55.001590654570094','138','60.143774887992684'
'12.523316767824278','2','526.1658383912139'
'16.49404636728582','1','1549.4046367285819'
'8.867383757184916','2','343.3691878592458'
'22.70926473197845','4','467.7316182994613'
'12.07828702753772','14','13.726521231873434'
'10.95317304918007','1','995.3173049180069'
'29.481898773789936','13','126.78383672146106'
'4.899576675754771','22','77.7291969283874'
'8.130727191840274','5','62.61454383680547'
'8.121988937051798','6','35.366482284196636'
'10.563831978870228','1','956.3831978870228'
'10.082829832102817','1','908.2829832102817'
'14.215036340072608','12','18.458636167271735'
'11.87623372839856','1','1087.623372839856'
'8.82185543952432','3','194.061847984144'
'15.889181333894964','1','1488.9181333894965'
'28.46644861639066','229','87.56923641205648'
'16.476078927463348','1','1547.6078927463348'
'3.842854231635245','1','284.2854231635245'
'8.825317067704141','2','341.26585338520704'
'1.3027269700045458','121','98.9233661404921'
'60.099953976703375','35','71.7141542191525'
'17.369283879214912','4','334.2320969803728'
'8.132295704924765','16','49.17315184422022'
'10.614133729818509','1','961.4133729818509'
'15.334373688986695','1','1433.4373688986695'
'15.113874009077854','1','1411.3874009077854'
'16.479993411561647','1','1547.9993411561647'
'11.123818778305143','1','1012.3818778305143'
'14.685919393980479','20','26.570403030097605'
'9.240703843113598','3','208.02346143711995'
'16.2316672147417','4','305.79168036854253'
'23.65486346899042','45','47.43363673557685'
'47.04100192909185','34','38.35588802674073'
'27.42590358200123','55','50.13472075999776'
'16.373237225580542','1','1537.3237225580542'
'8.939493615555625','2','346.97468077778126'
'52.00723718550435','430','87.9052936777897'
'7.674297396435184','3','155.80991321450614'
'16.255527974440607','68','76.09481180229322'
'15.82811886233369','2','691.4059431166845'
'41.07699378593439','63','34.7984225620089'
'14.459755052448626','2','622.9877526224313'
'8.65308996626326','1','765.3089966263259'
'7.245964558316116','10','27.54035441683884'
'17.217613453138824','4','330.4403363284706'
'2.3959170864189403','287','99.16518568417459'
'14.418396460235492','1','1341.8396460235492'
'10.825009120979988','1','982.5009120979988'
'36.36440142713235','91','60.03911931084357'
'11.193823334612295','2','459.6911667306148'
'16.37848739648126','34','51.82797824564336'
'9.581908680023943','1','858.1908680023944'
'4.478438738290631','2','123.92193691453156'
'16.48307950191146','1','1548.3079501911461'
'6.62606636048792','1','562.606636048792'
'14.435357205053181','24','39.852678312278414'
'15.167107260362934','1','1416.7107260362934'
'14.488644203212038','1','1348.8644203212039'
'11.271832799441704','1','1027.1832799441704'
'4.139606531242338','2','106.98032656211689'
'41.75981121060488','2','1987.990560530244'
'8.696361085146936','4','117.4090271286734'
'28.97410056306728','2','1348.705028153364'
'87.76545760621217','11','697.8677964201106'
'17.07498224406092','1','1607.498224406092'
'117.2400048890441','147','20.244894633303332'
'15.241729635503667','1','1424.1729635503666'
'66.5101378086639','116','42.66367430287595'
'27.809192934274392','5','456.18385868548785'
'11.134366743858738','1','1013.4366743858739'
'9.165259154477347','1','816.5259154477347'
'91.40649149408627','350','73.88385957311822'
'10.63251507605651','2','431.6257538028255'
'15.871843729917773','1','1487.1843729917773'
'16.097566287881367','1','1509.7566287881368'
'9.35015309304731','2','367.50765465236543'
'15.446091556534626','3','414.86971855115416'
'1.876921255813036','1','87.6921255813036'
'29.088350522403147','4','627.2087630600787'
'71.67463307573544','337','78.73156288553845'
'11.068472690207127','8','38.35590862758909'
'18.794763806510893','43','56.29124696160257'
'42.83706939184212','426','89.94434990801827'
'6.253383942399676','2','212.6691971199838'
'8.780641265684967','2','339.03206328424835'
'79.81099590454778','221','63.886427192512315'
'9.986450800725615','5','99.72901601451231'
'6.07269397085043','4','51.81734927126076'
'14.555151735188776','1','1355.5151735188776'
'7.967585897746719','1','696.7585897746719'
'10.96247578916521','2','448.12378945826043'
'7.5167667907259474','1','651.6766790725948'
'4.136740381119136','1','313.6740381119136'
'24.847757249741136','24','3.5323218739213993'
'10.482998984170727','2','424.1499492085364'
'11.858598040000862','6','97.64330066668103'
'6.504806726831127','1','550.4806726831127'
'62.235282570617606','20','211.176412853088'
'69.35471763888151','609','88.61170482120173'
'11.077800190283234','1','1007.7800190283234'
'10.029250850260745','6','67.15418083767908'
'16.39205289698926','1','1539.205289698926'
'6.077261697336679','7','13.181975752333155'
'50.8522303690335','46','10.54832688920326'
'6.830486650732874','4','70.76216626832186'
'8.890049349957646','2','344.5024674978823'
'1.9869152424526746','27','92.64105465758269'
'14.1022035239872','3','370.0734507995733'
'12.870946929917148','3','329.0315643305716'
'7.125761905638846','1','612.5761905638847'
'11.071348435545197','1','1007.1348435545196'
'6.965425931521809','1','596.5425931521809'
'16.202054195417755','2','710.1027097708877'
'16.02018584926526','7','128.8597978466466'
'7.980959934883385','8','0.2380008139576839'
'112.3405227728767','190','40.873409066907'
'52.82522327734605','90','41.30530746961551'
'88.66093024865644','714','87.58250276629462'
'16.32646871150416','1','1532.6468711504158'
'82.57866749193069','213','61.230672538999684'
'10.954829339392667','2','447.74146696963334'
'12.006218256063352','1','1100.6218256063353'
'49.71343090462211','28','77.54796751650753'
'59.78673491714491','558','89.28553137685574'
'6.239027325900125','5','24.780546518002495'
'14.751081258136065','1','1375.1081258136064'
'10.955611219481536','5','119.11222438963071'
