predictedValue,RealValue,ErrorPercent
'7.4006324968971695','1','640.0632496897169'
'5.499653720187613','7','21.4335182830341'
'1.5436434509836312','1','54.36434509836312'
'5.514832816364028','4','37.8708204091007'
'2.95165882414896','1','195.16588241489598'
'2.761857572292599','1','176.1857572292599'
'2.618163189767309','12','78.18197341860576'
'3.645874741893387','2','82.29373709466934'
'3.1256491352943643','1','212.56491352943644'
'7.648132627036261','38','79.87333519200985'
'2.920702695410628','1','192.0702695410628'
'1.168155911490297','1','16.815591149029707'
'6.730325195292571','66','89.80253758289004'
'3.685234372770913','1','268.5234372770913'
'6.164968059431068','5','23.29936118862136'
'2.732340759176438','1','173.2340759176438'
'9.448429974483728','1','844.8429974483728'
'3.6724633631158676','582','99.36899254929281'
'3.1923301739744687','3','6.411005799148957'
'3.9584568743720467','1','295.8456874372047'
'5.63973252595141','1','463.973252595141'
'3.6454291744901264','138','97.35838465616659'
'3.383390938301308','2','69.16954691506541'
'7.493116301238208','1','649.3116301238208'
'2.156505275940909','2','7.825263797045445'
'4.921529289291081','4','23.038232232277032'
'3.288866793059343','14','76.50809433529041'
'1.8746148119146926','1','87.46148119146926'
'8.571773334086117','13','34.063282045491405'
'2.561245875376716','22','88.35797329374219'
'2.081421133886504','5','58.37157732226992'
'1.2426911298947632','6','79.28848116842062'
'2.166972926979637','1','116.69729269796369'
'2.29157962042314','1','129.157962042314'
'7.2239585386307565','12','39.80034551141036'
'1.3502380793651474','1','35.02380793651474'
'2.4687541927212697','3','17.708193575957676'
'3.805644751999698','1','280.5644751999698'
'3.5654185932919304','229','98.4430486492175'
'1.8316501658589308','1','83.16501658589308'
'3.3224757123841484','1','232.24757123841485'
'3.300674959800026','2','65.0337479900013'
'7.271212321686767','121','93.99073361844069'
'9.632825544410789','35','72.47764130168346'
'5.09390535707908','4','27.34763392697701'
'3.2301451640509327','16','79.81159272468167'
'0.6193838267160183','1','38.06161732839817'
'2.4088851392129556','1','140.88851392129556'
'2.284321791720469','1','128.43217917204692'
'1.3655611559807639','1','36.55611559807639'
'2.568547739301536','1','156.8547739301536'
'5.587330360742936','20','72.06334819628533'
'6.205897907088209','3','106.86326356960699'
'4.530781012173215','4','13.269525304330365'
'8.493329250663574','45','81.12593499852538'
'3.77461599908789','34','88.8981882379768'
'5.7206643948922515','55','89.59879200928681'
'0.7862671667120296','1','21.373283328797044'
'1.5431494824598673','2','22.842525877006636'
'3.3414293532000343','430','99.22292340623254'
'2.5842094478545317','3','13.859685071515612'
'4.053398264779204','68','94.0391201988541'
'6.308122721522648','2','215.40613607613238'
'9.39223881579511','63','85.09168441937284'
'1.2869262093094083','2','35.65368953452959'
'3.843067885338341','1','284.3067885338341'
'2.94070862185974','10','70.5929137814026'
'6.200442620469751','4','55.01106551174377'
'3.7222597069593824','287','98.703045398272'
'4.6547150168222915','1','365.47150168222913'
'1.1564411885783006','1','15.644118857830058'
'7.3392252232389','91','91.9349173371001'
'2.938205345141389','2','46.910267257069464'
'8.803488705187233','34','74.10738616121402'
'2.6377491789869687','1','163.77491789869686'
'1.6764572141075549','2','16.177139294622258'
'0.4866063736412327','1','51.339362635876725'
'3.3023062767812257','1','230.23062767812257'
'8.981267271593582','24','62.578053035026734'
'4.187960673636041','1','318.79606736360404'
'1.1561562500128164','1','15.615625001281641'
'2.697166624037477','1','169.7166624037477'
'2.444486599502537','2','22.224329975126842'
'3.365783150415008','2','68.2891575207504'
'2.923287307991755','4','26.917817300206124'
'8.37314886935786','2','318.657443467893'
'9.561585458140001','11','13.076495835090896'
'4.29068211444619','1','329.06821144461895'
'3.471055133692741','147','97.63873800429064'
'8.355857619484373','1','735.5857619484374'
'3.836770233152838','116','96.6924394541786'
'7.614866834042414','5','52.29733668084828'
'1.6601479274676625','1','66.01479274676625'
'2.1490411686887514','1','114.90411686887514'
'9.240003348726358','350','97.35999904322104'
'1.196174365706181','2','40.19128171469095'
'5.30765654670532','1','430.765654670532'
'4.258488314155397','1','325.8488314155397'
'1.4372476919858617','2','28.137615400706917'
'6.063429567852757','3','102.11431892842523'
'3.2223330622787536','1','222.23330622787535'
'3.9937475481337303','4','0.15631129665674148'
'9.572785164438825','337','97.15941093043358'
'2.5386083631598577','8','68.26739546050177'
'5.8998612423815615','43','86.27939245957776'
'3.329425283597792','426','99.21844476910849'
'3.4732562700929006','2','73.66281350464503'
'1.9110202264653076','2','4.448988676734622'
'7.083427696634208','221','96.79482909654561'
'2.105564955235431','5','57.88870089529138'
'3.8556040474701985','4','3.6098988132450383'
'0.8308826030237135','1','16.911739697628647'
'1.4028702799832948','1','40.287027998329485'
'1.5854172083629052','2','20.72913958185474'
'1.172106518061938','1','17.21065180619381'
'2.8798254945084967','1','187.98254945084966'
'4.729975117313716','24','80.29177034452618'
'1.008482513056769','2','49.57587434716155'
'5.845199811062367','6','2.5800031489605564'
'6.645175206598982','1','564.5175206598982'
'3.702799943381871','20','81.48600028309065'
'3.29616140350597','609','99.45875839022891'
'3.004275689804562','1','200.42756898045621'
'4.1557280143811415','6','30.737866426980975'
'3.057484408983','1','205.7484408983'
'2.9007136540421508','7','58.56123351368356'
'7.592608771302949','46','83.49432875803707'
'2.926360955309698','4','26.840976117257554'
'2.724946622210434','2','36.2473311105217'
'6.765750076658828','27','74.94166638274507'
'1.0500240991821372','3','64.99919669392877'
'3.036919032980601','3','1.2306344326867023'
'1.346801414046086','1','34.6801414046086'
'2.8340523723265765','1','183.40523723265764'
'3.652063271589694','1','265.2063271589694'
'2.472367003478674','2','23.6183501739337'
'3.190635254624902','7','54.4194963625014'
'1.022633536784129','8','87.21708079019838'
'3.8491235932958743','190','97.9741454772127'
'4.119222804899815','90','95.42308577233354'
'3.550104765890595','714','99.50278644735425'
'3.675455795599686','1','267.5455795599686'
'3.490342695089655','213','98.36134145770438'
'2.6805909146395845','2','34.029545731979226'
'3.120514826733218','1','212.0514826733218'
'8.936834767233488','28','68.08273297416612'
'3.475879467174003','558','99.37708253276453'
'1.1034238329671142','5','77.93152334065772'
'4.814897723766637','1','381.4897723766637'
'3.4192056166281626','5','31.61588766743675'
'2.7713892229347574','3','7.620359235508086'
'1.8084130073178235','6','69.8597832113696'
'7.24764802266633','117','93.80542904045613'
'3.026889152931954','3','0.8963050977317977'
'7.561483105037706','1','656.1483105037705'
'3.0573789220464898','2','52.868946102324486'
'0.8479912954723874','1','15.200870452761261'
'1.0914142523038337','1','9.141425230383371'
'4.459115678387984','1','345.91156783879836'
'9.076904436000847','509','98.21671818546152'
'3.388661307057785','317','98.93102166969787'
'2.811825833837525','1','181.1825833837525'
'3.613647157240969','1','261.36471572409687'
'1.263267448470566','1','26.326744847056595'
'3.7872838232880315','1','278.72838232880315'
'3.4553965123973445','1','245.53965123973444'
'3.5386429157383663','1','253.86429157383662'
'0.4500199372654663','1','54.99800627345337'
'2.320116374964663','4','41.99709062588342'
'2.8800618847913935','9','67.99931239120673'
'1.077183534371967','3','64.09388218760111'
'1.2532273387205022','1','25.322733872050218'
'3.363068508332003','2','68.15342541660014'
'3.487480164596273','347','98.99496248858898'
'1.9019881707718063','1','90.19881707718062'
'1.3492886644467945','4','66.26778338883014'
'1.4566442336636038','1','45.66442336636038'
'5.414953248517487','28','80.66088125529468'
'3.352138972662621','1','235.2138972662621'
'4.964889658798814','6','17.251839020019766'
'2.0147265436219906','1','101.47265436219905'
'3.123750244737461','5','37.524995105250774'
'3.3930632788441133','2','69.65316394220567'
'6.806453257749951','3','126.88177525833169'
'3.4220431878074304','1','242.20431878074305'
'2.1656461759881496','1','116.56461759881496'
'0.9826330702970596','1','1.7366929702940404'
'2.7533429913687093','1','175.33429913687092'
'3.8026006745915937','126','96.98206295667335'
'3.6166963528735456','3','20.556545095784852'
'3.066160902769935','3','2.205363425664493'
'2.738525590236079','3','8.71581365879736'
'3.165414714976748','3','5.513823832558273'
'3.5758926609926798','2','78.79463304963399'
'4.1571632502769695','16','74.01772968576894'
'3.6910696330912036','19','80.57331772057262'
'4.235334333571191','6','29.411094440480152'
'9.51549533083006','12','20.704205576416168'
'3.384881586698788','5','32.302368266024246'
'3.6902601159697266','25','85.23895953612109'
'5.99393618251581','6','0.1010636247364971'
'1.1267366555469276','1','12.673665554692759'
'9.06237199729387','24','62.24011667794221'
'1.7231298609069041','3','42.562337969769864'
'9.340292010598839','1','834.0292010598839'
'2.6790134484361015','13','79.39220424279921'
'3.2020562134988872','2','60.102810674944365'
'2.8503040653467364','1','185.03040653467363'
'2.2979643573182127','1','129.79643573182128'
'2.808157158776579','2','40.407857938828954'
'4.487121028096369','1','348.7121028096369'
'1.3486246955077','1','34.862469550769994'
'2.451876147168545','4','38.70309632078638'
'1.094175997149315','1','9.417599714931502'
'3.7927466518288746','3','26.42488839429582'
'3.795991272893488','12','68.36673939255427'
'4.134220822382367','4','3.3555205595591664'
'3.1155167187886494','7','55.49261830301929'
'6.982480828447757','39','82.09620300398012'
'3.6994883943717776','497','99.25563613795336'
'3.739342953952865','1','273.9342953952865'
'4.0921394133960325','15','72.71907057735977'
'1.4401197597958437','1','44.01197597958437'
'2.9969731275169424','1','199.69731275169426'
'1.0021187042022346','3','66.59604319325885'
'5.766336774355429','8','27.920790320557142'
'1.2173903363028722','2','39.13048318485639'
'3.656362588571221','126','97.09812492970538'
'4.247872277046717','16','73.45079826845802'
'0.9943908414715081','3','66.8536386176164'
'8.708294661177485','21','58.53193018486912'
'8.666036495121023','12','27.783029207324805'
'3.257647229043888','2','62.88236145219439'
'2.3591403517906198','1','135.91403517906198'
'9.160606122311922','37','75.24160507483263'
'3.732523788219411','1','273.25237882194114'
'2.391589693182356','2','19.579484659117806'
'2.4590873540862357','2','22.954367704311785'
'1.3080197580018647','6','78.19967069996892'
'1.298550115925269','1','29.855011592526903'
'3.260324620069666','4','18.491884498258347'
'1.5785936626432604','1','57.85936626432604'
'0.947048442385698','1','5.295155761430204'
'1.1933650627480819','1','19.336506274808187'
'2.6553212889273246','1','165.53212889273246'
'3.9161259180333103','27','85.49582993320996'
'3.7134723253128454','182','97.95963059048745'
'3.052026207156542','1','205.20262071565418'
'1.5689575846801413','1','56.89575846801414'
'8.846579371810396','412','97.8527719971334'
'4.244814025585696','19','77.65887354954897'
'3.315090706258866','34','90.2497332168857'
'1.2135866302411689','1','21.358663024116886'
'9.073160876460047','198','95.41759551693939'
'2.4765641776350567','1','147.65641776350566'
'3.3415737543591773','3','11.385791811972574'
'9.306411187462562','40','76.7339720313436'
'2.5881247683164093','1','158.81247683164094'
'4.252849610174588','4','6.321240254364691'
'3.9499136907906416','4','1.2521577302339604'
'5.998179404241174','28','78.57793069913866'
'3.4943891419638033','2','74.71945709819016'
'1.1672525299658592','1','16.725252996585915'
'3.3889726804668427','8','57.63784149416446'
'5.939034589969091','2','196.95172949845454'
'3.964479922567393','1','296.4479922567393'
'1.7932175947544642','6','70.11304008742559'
'3.1675120996433535','7','54.74982714795209'
'9.381304616290766','41','77.1187692285591'
'8.786595384190642','2','339.3297692095321'
'7.54366398723597','5','50.873279744719405'
'5.065562912342281','1','406.55629123422807'
'2.4357865935687246','1','143.57865935687246'
'1.0664517050346882','1','6.645170503468822'
'3.8310888983415534','18','78.71617278699136'
'3.6960395632637626','500','99.26079208734726'
'1.5886212229830003','1','58.86212229830004'
'3.7399843349853517','67','94.41793382838007'
