predictedValue,RealValue,ErrorPercent
'2.701902331292093','5','45.96195337415814'
'3.6717982081940295','1','267.17982081940295'
'1.7152396506436052','1','71.52396506436051'
'2.208907393220296','1','120.89073932202959'
'3.5974869909834513','1','259.7486990983451'
'2.1515662568406153','1','115.15662568406154'
'5.018769047855023','92','94.5448162523315'
'1.4168622572078928','6','76.38562904653513'
'7.270308253699093','1','627.0308253699093'
'9.52769553284379','106','91.01160798788321'
'1.8675330204142901','1','86.75330204142901'
'3.4683250298481507','1','246.83250298481508'
'3.533438814668644','1','253.3438814668644'
'3.8625435348493253','101','96.17569947044622'
'7.4365367317210875','75','90.08461769103855'
'3.720250506379611','59','93.69449066715319'
'2.8941685527772996','3','3.527714907423348'
'3.6893165170407736','1','268.93165170407735'
'2.4811276394633666','2','24.056381973168328'
'6.147006905944311','15','59.01995396037126'
'2.656149328184417','1','165.6149328184417'
'3.6053594196850423','244','98.52239368045696'
'5.814184880136589','1','481.41848801365893'
'3.5014464931844786','523','99.33050736267982'
'5.742686459866729','4','43.56716149666822'
'3.819056898022826','3','27.301896600760873'
'3.528989430123567','1','252.8989430123567'
'1.2287796942680043','1','22.877969426800426'
'1.4743350313974584','1','47.43350313974584'
'1.1134943130214423','2','44.32528434892789'
'3.8490988357641376','3','28.30329452547125'
'1.2267559973779791','1','22.675599737797913'
'3.391569779957533','703','99.51755764154231'
'8.4242176844736','16','47.34863947204'
'2.4743625376620138','5','50.512749246759725'
'1.162208579253154','1','16.2208579253154'
'8.027915832948937','514','98.4381486706325'
'3.061576146584153','2','53.07880732920764'
'2.7817533449141156','1','178.17533449141158'
'3.454163840104789','1','245.4163840104789'
'2.6034968947394557','4','34.91257763151361'
'5.274789876511977','8','34.065126543600286'
'7.480209927587929','11','31.99809156738247'
'1.9382891273939515','1','93.82891273939515'
'5.849863110464562','39','85.00035099880881'
'1.018492385700398','1','1.8492385700398017'
'3.3887615789118524','1','238.87615789118524'
'7.906989560580515','141','94.39220598540389'
'2.9024381213488826','1','190.24381213488826'
'5.444054096221449','64','91.49366547465398'
'1.3228039149511899','1','32.28039149511899'
